sku,title,primary_path,mottaro_path,is_multi_category
ME035-18,"Motarro Air Clay – Charcoal Black, 60g","Arts and Crafts > Art Supplies > Sculpting & Moulding > Clay","mottaro > mottaro-art-supplies > mottaro-sculpting-moulding > mottaro-clay",yes
MP015-12,"Motarro Oil Pastel – 12 Colours","Arts and Crafts > Art Supplies > Sketch & Draw","mottaro > mottaro-art-supplies > mottaro-sketch-draw",yes
MP133-3,"Motarro Canvas Panel 20x20cm","Arts and Crafts > Art Supplies > Canvas > Panel","mottaro > mottaro-art-supplies > mottaro-canvas > mottaro-canvas-panel",yes
MP040-9,"Motarro Acrylic Paint – Medium Yellow, 75ml","Arts and Crafts > Art Supplies > Paints > Acrylic","mottaro > mottaro-art-supplies > mottaro-paints > mottaro-paints-acrylic",yes
MC010-2,"Motarro Pen Refill – Black, 1.0mm, 2 pcs","Stationery > School & Office > Writing & Correction > Pens and Pencils","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-pens-pencils",yes
MP166-1,"Motarro Painting Palette – With 2 Paint Brushes, 135mm, 6 Grids","Arts and Crafts > Art Supplies > Brushes & Applicators","mottaro > mottaro-art-supplies > mottaro-brushes-applicators",yes
MU054,"Motarro Page Markers – 20x5 pcs","Stationery > School & Office > Writing & Correction > Markers and Highlighters","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-markers-highlighters",yes
MP135-BLU,"Motarro Painting Apron – Blue, 480x330mm","Arts and Crafts > Art Supplies > Aprons","mottaro > mottaro-art-supplies > mottaro-art-aprons",yes
ME036-5,"Motarro Embroidery Hoop – 300mm","Arts and Crafts > Crafts > Embroidery","mottaro > mottaro-crafts > mottaro-embroidery",yes
MO027-4,"Motarro Tripod Blackboard – 48x25cm","Stationery > School & Office > Boards & Markers","mottaro > mottaro-school-office > mottaro-boards-markers",yes
MP004-2,"Motarro Woodless Charcoal Pencils – 3 pcs","Arts and Crafts > Art Supplies > Sketch & Draw","mottaro > mottaro-art-supplies > mottaro-sketch-draw",yes
ME130-10,"Motarro Wood Chip 130-140mm","Arts and Crafts > Crafts > Wooden","mottaro > mottaro-crafts > mottaro-wooden",yes
ME095-8,"Motarro LED Numbers Light – 22cm","Arts and Crafts > Crafts > Lights","mottaro > mottaro-crafts > mottaro-crafts-lights",yes
MK009-7,"Motarro Glue Stick – 21g","Stationery > School & Office > Glues and Adhesive Tape > Glues","mottaro > mottaro-school-office > mottaro-glues-adhesive-tape > mottaro-glues",yes
MK009-5,"Motarro Glue Stick – 9g","Stationery > School & Office > Glues and Adhesive Tape > Glues","mottaro > mottaro-school-office > mottaro-glues-adhesive-tape > mottaro-glues",yes
MU130-3,"Motarro Craft Stickers – Halobios","Arts and Crafts > Crafts > Stickers","mottaro > mottaro-crafts > mottaro-stickers",yes
ME095-5,"Motarro LED Numbers Light – 22cm","Arts and Crafts > Crafts > Lights","mottaro > mottaro-crafts > mottaro-crafts-lights",yes
MU130-6,"Motarro Craft Stickers – Transport","Arts and Crafts > Crafts > Stickers","mottaro > mottaro-crafts > mottaro-stickers",yes
MP154-2,"Motarro Kids Paintbrush – Set Of 3","Arts and Crafts > Art Supplies > Brushes & Applicators","mottaro > mottaro-art-supplies > mottaro-brushes-applicators",yes
MI047-2,"Motarro 30cm Scale Ruler","Stationery > School & Office > Measuring & Viewing","mottaro > mottaro-school-office > mottaro-measuring-viewing",yes
MK001-2,"Motarro Correction Tape – Set Of 3","Stationery > School & Office > Writing & Correction > Correction and Erasing","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-correction-erasing",yes
MP040-23,"Motarro Acrylic Paint – Flesh Colour, 75ml","Arts and Crafts > Art Supplies > Paints > Acrylic","mottaro > mottaro-art-supplies > mottaro-paints > mottaro-paints-acrylic",yes
MP169-3-GLD,"Motarro Acrylic Paint – Metallic, Gold, 75ml","Arts and Crafts > Art Supplies > Paints > Acrylic","mottaro > mottaro-art-supplies > mottaro-paints > mottaro-paints-acrylic",yes
MP169-3-GRY,"Motarro Acrylic Paint – Metallic, Grey, 75ml","Arts and Crafts > Art Supplies > Paints > Acrylic","mottaro > mottaro-art-supplies > mottaro-paints > mottaro-paints-acrylic",yes
MP015-18,"Motarro Oil Pastel – 18 Colours","Arts and Crafts > Art Supplies > Sketch & Draw","mottaro > mottaro-art-supplies > mottaro-sketch-draw",yes
MX032-3-BLK,"Motarro Double Zip Pencil Case – Black, 22x9x6.5cm","Stationery > School & Office > Pencil Bags & Cases","mottaro > mottaro-school-office > mottaro-pencil-bags-cases",yes
MP163-24,"Motarro Double Tip Marker – 6.0mm And 1.0mm, 24 Colours","Stationery > School & Office > Writing & Correction > Markers and Highlighters","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-markers-highlighters",yes
MP163-36,"Motarro Double Tip Marker – 6.0mm And 1.0mm, 36 Colours","Stationery > School & Office > Writing & Correction > Markers and Highlighters","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-markers-highlighters",yes
ME119-7,"Motarro Felt Bag – Green, 25x30cm, 70g, 5 pcs","Arts and Crafts > Crafts > Felt Bags","mottaro > mottaro-crafts > mottaro-felt-bags",yes
ME119-3,"Motarro Felt Bag – Red, 25x30cm, 70g, 5 pcs","Arts and Crafts > Crafts > Felt Bags","mottaro > mottaro-crafts > mottaro-felt-bags",yes
ME139-3,"Motarro – Crepe Filament Paper, Light Pink, 20g","Arts and Crafts > Crafts > Shredded and Crepe","mottaro > mottaro-crafts > mottaro-shredded-crepe",yes
MX041-5-ORG,"Motarro Silicone Pencil Case – Shark, Orange","Stationery > School & Office > Pencil Bags & Cases","mottaro > mottaro-school-office > mottaro-pencil-bags-cases",yes
MC036-11,"Motarro Whiteboard Marker – 12 pcs","Stationery > School & Office > Writing & Correction > Markers and Highlighters","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-markers-highlighters",yes
MT001-4-BLK,"Motarro Tape Dispenser – Black, 192x73x86mm","Stationery > School & Office > Glues and Adhesive Tape > Adhesives and Holders","mottaro > mottaro-school-office > mottaro-glues-adhesive-tape > mottaro-adhesives-holders",yes
MT001-7-PNK,"Motarro Tape Dispenser – Pink, 147x57x75mm","Stationery > School & Office > Glues and Adhesive Tape > Adhesives and Holders","mottaro > mottaro-school-office > mottaro-glues-adhesive-tape > mottaro-adhesives-holders",yes
MC134-1,"Motarro HB Pencil Box – 12 pcs","Stationery > School & Office > Writing & Correction > Pens and Pencils","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-pens-pencils",yes
MC039-5,"Motarro Whiteboard Marker With Eraser – 2mm, 4 pcs","Stationery > School & Office > Writing & Correction > Markers and Highlighters","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-markers-highlighters",yes
MA001-4,"Motarro Pegs – 45mm, 7 pcs","Stationery > School & Office","mottaro > mottaro-school-office",yes
MK078-1-BLU,"Motarro Sharpener – Blue","Stationery > School & Office > Sharpeners","mottaro > mottaro-school-office > mottaro-sharpeners",yes
MC007-1,"Motarro Textile Marker – Black, 2-3mm","Stationery > School & Office > Writing & Correction > Markers and Highlighters","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-markers-highlighters",yes
MQ001-1-YEL,"Motarro Clipboard – Yellow, 315x225mm","Stationery > School & Office > Clipboards","mottaro > mottaro-school-office > mottaro-clipboards",yes
MC049-1,"Motarro Highlighter – 4 pcs","Stationery > School & Office > Writing & Correction > Markers and Highlighters","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-markers-highlighters",yes
MQ057-2-BLK,"Motarro EVA Zipping Bag – A5, Black, 235x175mm","Fashion & Accessories > Synthetic Bags > Handbags","mottaro > mottaro-other > mottaro-other-fashion",yes
MC086-2,"Motarro Liquid Chalk Marker – White, 2-5mm","Stationery > School & Office > Writing & Correction > Markers and Highlighters","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-markers-highlighters",yes
MC110,"Motarro Multipen And Pencil – 0.7mm And 0.5mm","Stationery > School & Office > Writing & Correction > Pens and Pencils","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-pens-pencils",yes
MC111-9,"Motarro Gel Pen – Unicorn, 0.5mm","Stationery > School & Office > Writing & Correction > Pens and Pencils","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-pens-pencils",yes
ME035-20,"Motarro Air Clay – Light Green, 60g","Arts and Crafts > Art Supplies > Sculpting & Moulding > Clay","mottaro > mottaro-art-supplies > mottaro-sculpting-moulding > mottaro-clay",yes
MA040-1,"Motarro Magnetic Uppercase Letters – 26 pcs","Stationery > School & Office","mottaro > mottaro-school-office",yes
MU169-1,"Motarro Glitter Stickers – 1 Sheet","Arts and Crafts > Crafts > Stickers","mottaro > mottaro-crafts > mottaro-stickers",yes
MP130-11,"Motarro Canvas Stretch 30x24cm","Arts and Crafts > Art Supplies > Canvas > Stretch","mottaro > mottaro-art-supplies > mottaro-canvas > mottaro-canvas-stretch",yes
MQ057-6-BLU,"Motarro EVA Zipping Bag – Blue, 200x145mm","Fashion & Accessories > Synthetic Bags > Handbags","mottaro > mottaro-other > mottaro-other-fashion",yes
ME130-8,"Motarro Wood Chip 100-110mm","Arts and Crafts > Crafts > Wooden","mottaro > mottaro-crafts > mottaro-wooden",yes
ME095-S,"Motarro LED Letter Light – 22cm","Arts and Crafts > Crafts > Lights","mottaro > mottaro-crafts > mottaro-crafts-lights",yes
MI019-8-BLU,"Motarro Kids Scissors Floral – Blue","Stationery > School & Office > Cutting Tools","mottaro > mottaro-school-office > mottaro-cutting-tools",yes
MQ001-1-BLU,"Motarro Clipboard – Blue, 315x225mm","Stationery > School & Office > Clipboards","mottaro > mottaro-school-office > mottaro-clipboards",yes
ME095-2,"MOTARRO LED NUMBERS LIGHT | 2 | 22cm (ME095-2)","Arts and Crafts > Crafts > Lights","mottaro > mottaro-crafts > mottaro-crafts-lights",yes
MB001-3,"Motarro Didactic Electric Kit – 7 pcs","Stationery > Educational","mottaro > mottaro-educational",yes
MA057-1-LBLU,"Motarro Paper Clips – Light Blue, 50 pcs","Stationery > School & Office > Fasteners & Clips","mottaro > mottaro-school-office > mottaro-fasteners-clips",yes
MQ057-1-BLU,"Motarro EVA Zipping Bag – A4, Blue, 355x255mm","Fashion & Accessories > Synthetic Bags > Handbags","mottaro > mottaro-other > mottaro-other-fashion",yes
ME139-5,"Motarro – Crepe Filament Paper, Light Blue, 20g","Arts and Crafts > Crafts > Shredded and Crepe","mottaro > mottaro-crafts > mottaro-shredded-crepe",yes
MP130-6,"Motarro Canvas Stretch 20x20cm","Arts and Crafts > Art Supplies > Canvas > Stretch","mottaro > mottaro-art-supplies > mottaro-canvas > mottaro-canvas-stretch",yes
MU146-1,"Motarro Mathematical Flash Cards – Addition, 27 Sheets","Stationery > Educational","mottaro > mottaro-educational",yes
MP040-7,"Motarro Acrylic Paint – Vermilion, 75ml","Arts and Crafts > Art Supplies > Paints > Acrylic","mottaro > mottaro-art-supplies > mottaro-paints > mottaro-paints-acrylic",yes
MA024-5,"Motarro Magnets – 10 pcs","Stationery > School & Office > Magnets","mottaro > mottaro-school-office > mottaro-magnets",yes
MC003-2,"Motarro Metal Marker – Gold, 2mm","Stationery > School & Office > Writing & Correction > Markers and Highlighters","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-markers-highlighters",yes
ME035-6,"Motarro Air Clay – Light Pink, 60g","Arts and Crafts > Art Supplies > Sculpting & Moulding > Clay","mottaro > mottaro-art-supplies > mottaro-sculpting-moulding > mottaro-clay",yes
ME119-9,"Motarro Felt Bag – Mixed, 25x30cm, 70g, 5 pcs","Arts and Crafts > Crafts > Felt Bags","mottaro > mottaro-crafts > mottaro-felt-bags",yes
MC009-3,"Motarro Ballpoint Pen – 1.0mm, 7 pcs","Stationery > School & Office > Writing & Correction > Pens and Pencils","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-pens-pencils",yes
MK018-3,"Motarro Eraser – 4 pcs","Stationery > School & Office > Writing & Correction > Correction and Erasing","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-correction-erasing",yes
MT001-7-BLK,"Motarro Tape Dispenser – Black, 147x57x75mm","Stationery > School & Office > Glues and Adhesive Tape > Adhesives and Holders","mottaro > mottaro-school-office > mottaro-glues-adhesive-tape > mottaro-adhesives-holders",yes
MP130-52,"Motarro Canvas Stretch A2 – 42x59.4cm","Arts and Crafts > Art Supplies > Canvas > Stretch","mottaro > mottaro-art-supplies > mottaro-canvas > mottaro-canvas-stretch",yes
MP130-19,"Motarro Canvas Stretch 50x50cm","Arts and Crafts > Art Supplies > Canvas > Stretch","mottaro > mottaro-art-supplies > mottaro-canvas > mottaro-canvas-stretch",yes
ME095-A,"MOTARRO LED LETTER LIGHT | A | 22cm (ME095-A)","Arts and Crafts > Crafts > Lights","mottaro > mottaro-crafts > mottaro-crafts-lights",yes
MA011-1,"Motarro Split Pins – 19mm, Gold, 30 pcs","Stationery > School & Office","mottaro > mottaro-school-office",yes
MQ003-1-GRN,"MOTARRO CLIPBOARD | GREEN | 23x31.5cm (MQ003-1)","Stationery > School & Office > Clipboards","mottaro > mottaro-school-office > mottaro-clipboards",yes
MQ064-1-BLK,"MOTARRO ID CARD | BLACK | 54x85mm | 2PCS (MQ064-1)","Stationery > School & Office > Accessories","mottaro > mottaro-school-office > mottaro-stationery-accessories",yes
MQ001-1-WHT,"MOTARRO CLIPBOARD | WHITE | 315x225mm (MQ001-1)","Stationery > School & Office > Clipboards","mottaro > mottaro-school-office > mottaro-clipboards",yes
ME130-13,"MOTARRO WOOD CHIP 180|200mm (ME130-13)","Arts and Crafts > Crafts > Wooden","mottaro > mottaro-crafts > mottaro-wooden",yes
MQ003-1-BLU,"MOTARRO CLIPBOARD | BLUE | 23x31.5cm (MQ003-1)","Stationery > School & Office > Clipboards","mottaro > mottaro-school-office > mottaro-clipboards",yes
MQ064-1-RED,"MOTARRO ID CARD | RED | 54x85mm | 2PCS (MQ064-1)","Stationery > School & Office > Accessories","mottaro > mottaro-school-office > mottaro-stationery-accessories",yes
ME395-8,"MOTARRO CREPE PAPER | LIGHT PINK | 35x10mm | 4PCS (ME395-8)","Arts and Crafts > Crafts > Shredded and Crepe","mottaro > mottaro-crafts > mottaro-shredded-crepe",yes
ME292-2,"MOTARRO MAGNETIC ADHESIVE TAPE | 2x1mm (ME292-2)","Stationery > School & Office > Glues and Adhesive Tape > Adhesives and Holders","mottaro > mottaro-school-office > mottaro-glues-adhesive-tape > mottaro-adhesives-holders",yes
MU146-7,"MOTARRO FLASH CARDS | ANIMALS | 36 SHEETS (MU146-7)","Stationery > Educational","mottaro > mottaro-educational",yes
MU146-13,"MOTARRO FLASH CARDS | BODY PARTS | 36 SHEETS (MU146-13)","Stationery > Educational","mottaro > mottaro-educational",yes
MU146-6,"MOTARRO FLASH CARDS | COLOURS | 36 SHEETS (MU146-6)","Stationery > Educational","mottaro > mottaro-educational",yes
MU031-14,"MOTARRO ADHESIVE LABELS | 5 SHEETS (MU031-14)","Stationery > School & Office > Labels & Notes","mottaro > mottaro-school-office > mottaro-labels-notes",yes
MU031-7,"MOTARRO ADHESIVE LABELS | 5 SHEETS (MU031-7)","Stationery > School & Office > Labels & Notes","mottaro > mottaro-school-office > mottaro-labels-notes",yes
MQ064-1-BLU,"MOTARRO ID CARD | BLUE | 54x85mm | 2PCS (MQ064-1)","Stationery > School & Office > Accessories","mottaro > mottaro-school-office > mottaro-stationery-accessories",yes
MQ001-1-PNK,"MOTARRO CLIPBOARD | PINK | 315x225mm (MQ001-1)","Stationery > School & Office > Clipboards","mottaro > mottaro-school-office > mottaro-clipboards",yes
MQ003-1-RED,"MOTARRO CLIPBOARD | RED | 23x31.5cm (MQ003-1)","Stationery > School & Office > Clipboards","mottaro > mottaro-school-office > mottaro-clipboards",yes
ME036-3,"Motarro Embroidery Hoop – 200mm","Arts and Crafts > Crafts > Embroidery","mottaro > mottaro-crafts > mottaro-embroidery",yes
MX032-3-RED,"MOTARRO DOUBLE ZIP PENCIL CASE | RED | 22x9x6.5cm (MX032-3)","Stationery > School & Office > Pencil Bags & Cases","mottaro > mottaro-school-office > mottaro-pencil-bags-cases",yes
MI019-9-BLU,"MOTARRO KIDS SCISSORS CRAFT | BLUE (MI019-9)","Stationery > School & Office > Cutting Tools","mottaro > mottaro-school-office > mottaro-cutting-tools",yes
MI019-9-GRN,"MOTARRO KIDS SCISSORS CRAFT | GREEN (MI019-9)","Stationery > School & Office > Cutting Tools","mottaro > mottaro-school-office > mottaro-cutting-tools",yes
MI019-9-PNK,"MOTARRO KIDS SCISSORS CRAFT | PINK (MI019-9)","Stationery > School & Office > Cutting Tools","mottaro > mottaro-school-office > mottaro-cutting-tools",yes
MI070-3-PNK,"MOTARRO SCISSORS | 210mm | PINK (MI070-3)","Stationery > School & Office > Cutting Tools","mottaro > mottaro-school-office > mottaro-cutting-tools",yes
MU156-2,"MOTARRO CARBON PAPER | A4 | BLACK | 210x297cm | 10 SHEETS (MU156-2)","Stationery > School & Office > Colour Paper and Boards","mottaro > mottaro-school-office > mottaro-colour-paper-boards",yes
ME047-1-BLU,"MOTARRO CUTTING MAT | BLUE | A2 | 600x450mm (ME047-1)","Stationery > School & Office > Measuring & Viewing","mottaro > mottaro-school-office > mottaro-measuring-viewing",yes
ME047-1-PNK,"MOTARRO CUTTING MAT | PINK | A2 | 600x450mm (ME047-1)","Stationery > School & Office > Measuring & Viewing","mottaro > mottaro-school-office > mottaro-measuring-viewing",yes
ME047-2-PNK,"MOTARRO CUTTING MAT | PINK | A3 | 450x300mm (ME047-2)","Stationery > School & Office > Measuring & Viewing","mottaro > mottaro-school-office > mottaro-measuring-viewing",yes
MK002-2-GRN,"Motarro Correction Tape – Green","Stationery > School & Office > Writing & Correction > Correction and Erasing","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-correction-erasing",yes
MI019-9-ORG,"MOTARRO KIDS SCISSORS CRAFT | ORANGE (MI019-9)","Stationery > School & Office > Cutting Tools","mottaro > mottaro-school-office > mottaro-cutting-tools",yes
MI070-3-BLU,"MOTARRO SCISSORS | 210mm | BLUE (MI070-3)","Stationery > School & Office > Cutting Tools","mottaro > mottaro-school-office > mottaro-cutting-tools",yes
MI034-1,"MOTARRO STAMP PAD INK | BLACK 30ml (MI034-1)","Stationery > School & Office > Stamps & Ink","mottaro > mottaro-school-office > mottaro-stamps-ink",yes
MC029-3-BLU,"Motarro Mechanical Pencil And Lead Refills – Blue, 0.5mm, 2 pcs","Stationery > School & Office > Writing & Correction > Pens and Pencils","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-pens-pencils",yes
ME036-6,"Motarro Embroidery Hoop – 400mm","Arts and Crafts > Crafts > Embroidery","mottaro > mottaro-crafts > mottaro-embroidery",yes
ME095-9,"Motarro LED Numbers Light – 22cm","Arts and Crafts > Crafts > Lights","mottaro > mottaro-crafts > mottaro-crafts-lights",yes
MQ021-BLU,"Motarro Expanding File – A4, Blue","Stationery > School & Office > Filing & Organisation","mottaro > mottaro-school-office > mottaro-filing-organisation",yes
MX032-3-BLU,"Motarro Double Zip Pencil Case – Blue, 22x9x6.5cm","Stationery > School & Office > Pencil Bags & Cases","mottaro > mottaro-school-office > mottaro-pencil-bags-cases",yes
MK002-2-BLU,"Motarro Correction Tape – Blue","Stationery > School & Office > Writing & Correction > Correction and Erasing","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-correction-erasing",yes
MQ057-2-BLU,"Motarro EVA Zipping Bag – A5, Blue, 235x175mm","Fashion & Accessories > Synthetic Bags > Handbags","mottaro > mottaro-other > mottaro-other-fashion",yes
MP130-13,"Motarro Canvas Stretch 30x40cm","Arts and Crafts > Art Supplies > Canvas > Stretch","mottaro > mottaro-art-supplies > mottaro-canvas > mottaro-canvas-stretch",yes
MK013-BLU,"Motarro Eraser With Cover – Blue, 3 pcs","Stationery > School & Office > Writing & Correction > Correction and Erasing","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-correction-erasing",yes
MP135-GRN,"Motarro Painting Apron – Green, 480x330mm","Arts and Crafts > Art Supplies > Aprons","mottaro > mottaro-art-supplies > mottaro-art-aprons",yes
MI127-1,"Motarro Paper Cutter Replacement Blades – A4","Stationery > School & Office > Cutting Tools","mottaro > mottaro-school-office > mottaro-cutting-tools",yes
MU168-1,"Motarro Glow In The Dark Stickers – 1 Sheet","Arts and Crafts > Crafts > Stickers","mottaro > mottaro-crafts > mottaro-stickers",yes
MP084,"Motarro Paintbrush – Synthetic Fiber, Set Of 3","Arts and Crafts > Art Supplies > Brushes & Applicators","mottaro > mottaro-art-supplies > mottaro-brushes-applicators",yes
MP069,"Motarro Easel – 120cm","Arts and Crafts > Art Supplies > Easels","mottaro > mottaro-art-supplies > mottaro-easels",yes
MU031-4,"Motarro Adhesive Labels – 5 Sheets","Stationery > School & Office > Labels & Notes","mottaro > mottaro-school-office > mottaro-labels-notes",yes
ME035-3,"Motarro Air Clay – White, 60g","Arts and Crafts > Art Supplies > Sculpting & Moulding > Clay","mottaro > mottaro-art-supplies > mottaro-sculpting-moulding > mottaro-clay",yes
MI019-6-GRN,"Motarro Kids Scissors – Green, 130cm","Stationery > School & Office > Cutting Tools","mottaro > mottaro-school-office > mottaro-cutting-tools",yes
ME095-Q,"Motarro LED Letter Light – 22cm","Arts and Crafts > Crafts > Lights","mottaro > mottaro-crafts > mottaro-crafts-lights",yes
MO007,"Motarro Blackboard – 30x40cm","Stationery > School & Office > Boards & Markers","mottaro > mottaro-school-office > mottaro-boards-markers",yes
MQ001-1-LPNK,"Motarro Clipboard – Light Pink, 315x225mm","Stationery > School & Office > Clipboards","mottaro > mottaro-school-office > mottaro-clipboards",yes
MP198-4,"Motarro Stretch Canvas – Fill In The Frame, With Paint And Paintbrush, Car, 20x20cm","Arts and Crafts > Art Supplies > Canvas > Stretch","mottaro > mottaro-art-supplies > mottaro-canvas > mottaro-canvas-stretch",yes
MU130-5,"Motarro Craft Stickers – Ball Outfit","Arts and Crafts > Crafts > Stickers","mottaro > mottaro-crafts > mottaro-stickers",yes
ME095-1,"Motarro LED Numbers Light – 22cm","Arts and Crafts > Crafts > Lights","mottaro > mottaro-crafts > mottaro-crafts-lights",yes
MP133-2,"Motarro Canvas Panel 24x18cm","Arts and Crafts > Art Supplies > Canvas > Panel","mottaro > mottaro-art-supplies > mottaro-canvas > mottaro-canvas-panel",yes
MU130-8,"Motarro Craft Stickers – Boat","Arts and Crafts > Crafts > Stickers","mottaro > mottaro-crafts > mottaro-stickers",yes
ME035-19,"Motarro Air Clay – Green, 60g","Arts and Crafts > Art Supplies > Sculpting & Moulding > Clay","mottaro > mottaro-art-supplies > mottaro-sculpting-moulding > mottaro-clay",yes
ME145-2,"Motarro Plasticine – 12 pcs","Arts and Crafts > Art Supplies > Sculpting & Moulding > Plasticine","mottaro > mottaro-art-supplies > mottaro-sculpting-moulding > mottaro-plasticine",yes
ME095-H,"Motarro LED Letter Light – 22cm","Arts and Crafts > Crafts > Lights","mottaro > mottaro-crafts > mottaro-crafts-lights",yes
MP169-3-DBLU,"Motarro Acrylic Paint – Metallic, Dark Blue, 75ml","Arts and Crafts > Art Supplies > Paints > Acrylic","mottaro > mottaro-art-supplies > mottaro-paints > mottaro-paints-acrylic",yes
MO018,"Motarro Cork Board – 40x60cm","Stationery > School & Office","mottaro > mottaro-school-office",yes
MI035-2,"Motarro Ink Pad – Blue","Stationery > School & Office > Stamps & Ink","mottaro > mottaro-school-office > mottaro-stamps-ink",yes
MP125-2,"Motarro Watercolour Pad – 5 Sheets, 210x297mm","Arts and Crafts > Art Supplies > Sketch & Draw","mottaro > mottaro-art-supplies > mottaro-sketch-draw",yes
MX041-5-GRN,"Motarro Silicone Pencil Case – Shark, Green","Stationery > School & Office > Pencil Bags & Cases","mottaro > mottaro-school-office > mottaro-pencil-bags-cases",yes
MK011,"Motarro Transparent Glue – 60ml","Stationery > School & Office > Glues and Adhesive Tape > Glues","mottaro > mottaro-school-office > mottaro-glues-adhesive-tape > mottaro-glues",yes
MI020-6-BLU,"Motarro Stapler With Staples – Blue, 2 pcs","Stationery > School & Office > Stapling","mottaro > mottaro-school-office > mottaro-stapling",yes
ME227-1,"Motarro Cork Board For Crafts – 150x200mm","Stationery > School & Office","mottaro > mottaro-school-office",yes
ME130-4,"Motarro Wood Chips – 50-60mm 3 pcs","Arts and Crafts > Crafts > Wooden","mottaro > mottaro-crafts > mottaro-wooden",yes
ME130-6,"Motarro Wood Chips – 70-80mm","Arts and Crafts > Crafts > Wooden","mottaro > mottaro-crafts > mottaro-wooden",yes
